SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000262,呼伦贝尔,内蒙古,4A,120.164408,额尔古纳湿地,50.252423,60,田园度假
1000263,呼和浩特,内蒙古,,111.88089,呼和塔拉“助力世界杯，国际狂欢节”,40.942552,,民俗风情
1000264,呼伦贝尔,内蒙古,,118.149841,甘珠尔庙,48.366172,,
1000265,乌兰察布,内蒙古,,113.773721,苏木山,40.952666,45,湖光山色
1000266,鄂尔多斯,内蒙古,,109.753296,鄂尔多斯东海温泉,39.587081,,温泉
1000267,赤峰,内蒙古,,117.519357,龙口旅游度假区,43.110065,75,漂流戏水
1000268,通辽,内蒙古,,122.633592,双合尔山白塔,43.3131,,
1000269,北京,内蒙古,,117.35857,乌兰布统旅游区,43.218237,115,
1000271,呼伦贝尔,内蒙古,,121.063669,卡鲁奔国家湿地公园,51.002192,,
1000272,呼和浩特,内蒙古,,112.08498,子昂奶牛主题公园,40.6081,,
1000273,赤峰,内蒙古,,118.733807,赤峰热水天沐温泉,41.477891,65,温泉
1000274,巴彦淖尔,内蒙古,,108.273793,宇鑫热带雨林海洋世界,41.09484,74,漂流戏水
1000275,呼伦贝尔,内蒙古,,119.913884,蒙古之源文化旅游景区,51.34784,130,
1000276,呼伦贝尔,内蒙古,,119.761769,白音呼硕草原,49.153125,,草原沙漠
1000277,呼伦贝尔,内蒙古,,119.491037,黑山头老高马场,50.209008,,骑行
1000278,呼伦贝尔,内蒙古,,119.783516,中俄蒙冰雪乐园,49.255154,,滑雪
1000279,呼伦贝尔,内蒙古,,117.45604,满洲里国际饭店歌舞演艺,49.59648,168,赛事演出
1000280,赤峰,内蒙古,,118.543304,黑里河峡谷漂流,41.425236,,游船
1000281,包头,内蒙古,,109.814838,昆仑国际滑雪场,40.759692,,滑雪
1000282,呼和浩特,内蒙古,,111.660351,蒙亮风情园,40.828319,,草原沙漠
1000283,阿拉善盟,内蒙古,,100.21596,东风航天城（酒泉卫星发射中心）,40.987622,,
1000284,兴安盟,内蒙古,,121.216079,突泉温泉滑雪场,45.834112,,
1000285,呼和浩特,内蒙古,,111.671784,仟胜冰雪世界,40.85596,,滑雪
1000286,呼伦贝尔,内蒙古,4A,122.740705,扎兰屯吊桥公园,48.026405,,园林景观
1000287,赤峰,内蒙古,,118.98199,卡酷水乐园,42.28265,,主题乐园
1000288,赤峰,内蒙古,,119.16847,辽大明塔,41.57856,,古迹遗址
1000289,呼和浩特,内蒙古,,111.708862,呼市海德酒店浴场,40.802206,,温泉
