rooms,area,floors,location,nearbySubway,price
5,82.0,26,天心,1,9121
7,122.0,28,岳麓,1,10327
5,93.0,17,雨花,0,10193
7,103.0,32,岳麓,0,7184
6,108.0,34,岳麓,0,6666
6,122.0,28,雨花,0,11639
6,82.0,22,岳麓,0,12804
6,90.0,18,雨花,0,9866
5,83.0,18,岳麓,0,9614
7,113.0,18,岳麓,0,11150
5,80.0,20,雨花,0,8975
4,79.0,27,雨花,1,12405
3,53.0,33,雨花,1,9811
9,260.0,39,开福,1,11346
5,78.0,34,岳麓,0,6397
6,90.23,6,岳麓,0,10173
6,82.0,18,芙蓉,0,10000
3,38.0,26,岳麓,0,9210
6,112.0,9,星沙,0,8214
7,162.27,14,天心,1,10168
9,238.0,4,开福,0,10835
5,75.0,7,雨花,1,7733
4,41.0,21,雨花,1,11902
6,97.0,8,天心,1,8226
8,142.0,18,雨花,0,10070
7,176.0,6,开福,0,5670
5,99.0,12,岳麓,0,9595
9,119.0,6,雨花,0,9815
3,50.0,32,芙蓉,1,11000
7,112.0,33,芙蓉,0,14732
5,75.0,30,芙蓉,1,11466
7,136.0,18,雨花,1,11029
7,138.0,18,雨花,1,10420
5,76.0,33,星沙,0,6907
7,140.0,27,雨花,0,13214
10,179,11,岳麓,1,8268
5,89.68,28,雨花,0,9567
5,87.1,22,岳麓,1,13777
5,80.7,33,星沙,0,7905
6,81.0,27,星沙,0,9753
7,136.0,31,星沙,0,8294
8,80.0,30,星沙,0,9975
5,83.0,28,岳麓,0,10096
5,84.68,28,星沙,0,6943
7,95.0,28,岳麓,0,11052
6,90.0,7,芙蓉,0,9555
5,88.0,6,星沙,0,5204
12,413.0,2,天心,0,12106
6,100.0,18,雨花,0,12000
9,245,1,岳麓,0,8979
8,155.0,33,开福,1,12129
12,278.0,3,岳麓,0,9172
5,80.0,24,芙蓉,0,9600
6,89.0,33,星沙,0,8179
5,98.0,32,星沙,0,7959
5,88,17,岳麓,1,11000
5,75.0,32,芙蓉,1,11733
5,92.0,7,芙蓉,1,8478
5,91.0,34,芙蓉,0,10439
8,140.0,28,芙蓉,0,11285
5,77.0,32,星沙,0,8961
8,135.0,24,星沙,0,10074
5,88.0,18,星沙,0,6931
7,136.0,7,开福,0,6617
7,120.0,23,开福,1,11500
7,134.54,6,岳麓,0,8176
7,141.0,26,雨花,0,9078
6,136.0,28,天心,1,9558
6,89.68,30,开福,0,13135
3,35.0,28,天心,1,9142
6,88.0,32,星沙,0,7931
8,168.0,5,星沙,0,12500
7,114.0,18,开福,1,12350
7,122.0,32,开福,1,13114
6,89.0,18,雨花,0,11573
8,147.0,30,岳麓,0,13945
5,80.0,7,雨花,0,8500
5,85.0,32,芙蓉,1,13176
3,48.0,15,芙蓉,1,8916
5,94.0,26,星沙,0,7978
8,152.5,18,长沙周边,0,5114
5,70.0,7,天心,1,8428
5,90.0,7,芙蓉,1,9622
7,130.0,19,雨花,0,10000
7,147.0,6,岳麓,0,18027
7,142.0,10,天心,1,10422
5,83,18,岳麓,0,9253
7,138.0,18,雨花,0,8405
8,140.0,25,雨花,1,9142
6,90.0,22,雨花,1,12000
6,75.0,28,星沙,0,9040
7,126,32,星沙,0,7936
7,119.0,29,雨花,0,10252
7,142.0,6,长沙周边,0,5338
7,112.0,31,雨花,0,9732
7,136.0,17,雨花,1,10882
8,131.0,21,芙蓉,0,10610
7,126.0,34,岳麓,1,13873
6,87.0,34,岳麓,0,10344
7,110.0,32,岳麓,1,11545
10,234.0,4,望城,0,9829
8,150.0,32,岳麓,1,10133
7,115.0,17,雨花,1,10956
7,126,18,雨花,1,9523
5,94.0,28,开福,1,10957
4,41.0,30,雨花,1,10243
6,95.0,6,雨花,0,8000
7,120.0,6,望城,0,4750
8,160.0,18,雨花,1,8937
5,84.0,28,雨花,0,9047
5,68.0,8,开福,0,9088
6,90.0,28,岳麓,0,8888
